Type,Date,Timings for bell
Midsem,05-12-2024,"09:00:00, 09:15:00, 09:30:00, 11:15:00, 11:30:00"
Midsem,06-12-2024,"09:00:00, 09:15:00, 09:30:00, 11:15:00, 11:30:00"
Midsem,07-12-2024,"09:00:00, 09:15:00, 09:30:00, 11:15:00, 11:30:00"
Midsem,08-12-2024,"09:00:00, 09:15:00, 09:30:00, 11:15:00, 11:30:00"
Midsem,09-12-2024,"09:00:00, 09:15:00, 09:30:00, 11:15:00, 11:30:00"
Midsem,10-12-2024,"09:00:00, 09:15:00, 09:30:00, 11:15:00, 11:30:00"
Midsem,11-12-2024,"09:00:00, 09:15:00, 09:30:00, 11:15:00, 11:30:00"
Midsem,12-12-2024,"09:00:00, 09:15:00, 09:30:00, 11:15:00, 11:30:00"
Midsem,13-12-2024,"09:00:00, 09:15:00, 09:30:00, 11:15:00, 11:30:00"
Midsem,14-12-2024,"09:00:00, 09:15:00, 09:30:00, 11:15:00, 11:30:00"
Midsem,15-12-2024,"09:00:00, 09:15:00, 09:30:00, 11:15:00, 11:30:00"
Midsem,16-12-2024,"09:00:00, 09:15:00, 09:30:00, 11:15:00, 11:30:00"
Holiday,17-12-2024,No bell ringing
Holiday,18-12-2024,No bell ringing
Holiday,19-12-2024,No bell ringing
Holiday,20-12-2024,No bell ringing
Holiday,21-12-2024,No bell ringing
Holiday,22-12-2024,No bell ringing
Holiday,23-12-2024,No bell ringing
Holiday,24-12-2024,No bell ringing
Holiday,25-12-2024,No bell ringing
Holiday,26-12-2024,No bell ringing
Holiday,27-12-2024,No bell ringing
Holiday,28-12-2024,No bell ringing
Holiday,29-12-2024,No bell ringing
Holiday,30-12-2024,No bell ringing
Holiday,31-12-2024,No bell ringing
Holiday,01-01-2025,No bell ringing
